Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,9:50:59,352.6,57.85084202085045,,,90.346847354472288,90,-3345.8726389121707,305092.00105363084,1449.5033135860119,2009.9395266102001,-300797.60790283576,882.50041833892703,-3254.8489614132827,0.98840961277409389,0.99599154891477604,57.914995990374791,,,90.346847354472288,90.000000000000057,-3253.517540278016,304825.51040145417,1449.744189906759,2007.8500355914034,-301072.08569028112,882.61822962114115,-3257.384203066315,0.98840961277409656,0.99599154891477082
4/22/2015,9:50:59,452.6,57.658380112269867,,,90.346847354472288,90,-3255.8441415096049,303303.32954827859,1450.7600186121708,1996.4249166454254,-299176.28806857805,882.2701321356559,-3238.1500881191196,0.98808015694605023,0.99731481806053446,57.754611066557572,,,90.346847354472288,90.000000000000057,-3249.3303337332122,305315.25947041047,1449.8429617026477,2010.9409879389546,-301712.63056192576,882.49276392540946,-3264.7772827747881,0.98808015694605389,0.99731481806052824
4/22/2015,9:50:59,552.6,57.530072173216126,,,90.31022515803636,90,-3180.8148599402543,303665.41226208786,1449.3686802752468,2000.7270226801629,-299899.1006473524,882.56871921080426,-3244.8753229904173,0.98800433246555996,0.99360683216520995,57.594226142740354,,,90.31022515803636,90.000000000000057,-3236.9294368729743,303306.87576610857,1449.721156335831,1997.8790523039509,-299441.10996627144,882.52133522802978,-3240.0936847535536,0.98800433246556218,0.9936068321652034
4/22/2015,9:50:59,652.7,57.481956696070938,,,90.346847354472288,90,-3232.1329406982127,303962.90405865782,1449.6151973193739,2002.3465035533,-300295.68163644499,882.33601240916391,-3250.0232190065331,0.98822014351274179,0.98696282305341843,57.506014434640974,,,90.346847354472288,90.000000000000057,-3260.6943770621278,304221.15372028138,1449.4716691557121,2004.246667558853,-300593.22458097211,882.56174370097915,-3252.4109479808067,0.98822014351274434,0.98696282305341154
4/22/2015,9:50:59,752.7,57.369687249398964,,,90.383469550908217,90,-3154.0370725718371,303041.94565919554,1449.7675389980509,1996.0699485317145,-299477.24365154566,882.31710145514694,-3241.2349432242586,0.9881663951476618,0.98879704014942082,57.425821972732365,,,90.383469550908217,90.000000000000057,-3249.4044577571508,303324.36929896532,1450.0212261275924,1997.5807525424521,-299616.04631953809,882.52600949168766,-3241.9695563039795,0.9881663951476648,0.9887970401494155
4/22/2015,9:50:59,852.7,57.241379310345224,,,90.383469550908217,90,-3235.4593869210084,303331.3929288956,1448.6584291470717,1999.5061475467744,-300102.73637870379,882.32283962165525,-3247.9835125126506,0.98821944866482958,0.98743991605904502,57.305533279869451,,,90.383469550908217,90.000000000000057,-3248.898008081781,302929.11172268435,1449.7556768169582,1995.3441314677737,-299102.00776121381,882.45381242974611,-3236.6717257196033,0.9882194486648318,0.98743991605903969
4/22/2015,9:50:59,953.0,57.064955894146351,,,90.31022515803636,90,-3210.154852203862,303384.36324372079,1449.9522160729346,1998.0708549610495,-300141.98043273285,882.69702896634192,-3247.0311951451126,0.98824084507302024,0.98594202865269442,57.153167602243229,,,90.31022515803636,90.000000000000057,-3262.3295131816812,302979.39925247838,1449.7259166714907,1995.7154695804413,-299403.9825474394,882.52125497721545,-3239.6921989488483,0.98824084507302368,0.9859420286526881
4/22/2015,9:51:00,52.8,57.016840417001163,,,90.31022515803636,90,-3280.9399935764186,306065.87340984278,1449.3024285975278,2016.6348597946949,-302459.88678918366,882.7724709059155,-3271.8274066779841,0.98811894146851953,0.98965927002043141,57.040898155571313,,,90.31022515803636,90.000000000000057,-3269.0242332869311,304272.7577653699,1450.2488858313691,2003.5129434132286,-300135.9797373956,882.61265420967527,-3247.274044192442,0.98811894146852219,0.98965927002042631
4/22/2015,9:51:00,153.0,56.888532477947479,,,90.346847354472288,90,-3372.2299005601872,307463.36316452001,1450.2796499286328,2024.4777234390599,-303474.80525336385,882.67319264823959,-3283.1754104831857,0.98780512325106129,0.98886605766362801,56.952686447471706,,,90.346847354472288,90.000000000000057,-3306.445849708512,306092.93306918832,1450.3958902319694,2015.2934456228456,-302096.34075836802,882.69336088385285,-3268.1872861622778,0.98780512325106373,0.98886605766362234
4/22/2015,9:51:00,252.8,56.728147554130317,,,90.346847354472288,90,-3330.7479646145334,302919.37828458403,1450.2210624624022,1994.6386517289402,-298654.23408252047,882.66210707105938,-3231.0641126727674,0.98768612772542153,0.99004763707545762,56.808340016036027,,,90.346847354472288,90.000000000000057,-3252.7067718166732,305169.87908674899,1449.5534770366021,2010.3890001976379,-301685.7786699534,882.55569042423315,-3264.2507948620846,0.98768612772542441,0.99004763707545185
